,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
3204,2015-02-13,73.23830407723621,2.4100833005425155,148.07869241892462,73.23830407723621,73.23830407723621,2.959092361449152,2.959092361449152,2.959092361449152,-0.9328388400163967,-0.9328388400163967,-0.9328388400163967,3.8919312014655483,3.8919312014655483,3.8919312014655483,0.0,0.0,0.0,76.19739643868536
3205,2015-02-17,73.48926300795614,2.7895770696795203,152.64195472951127,73.48926300795614,73.48926300795614,3.7972011833028874,3.7972011833028874,3.7972011833028874,-0.007335517545617705,-0.007335517545617705,-0.007335517545617705,3.804536700848505,3.804536700848505,3.804536700848505,0.0,0.0,0.0,77.28646419125903
3206,2015-02-18,73.55200274063611,4.183882814064222,153.7184860942157,73.55200274063611,73.55200274063611,3.5851425786827282,3.5851425786827282,3.5851425786827282,-0.12239914247425014,-0.12239914247425014,-0.12239914247425014,3.7075417211569786,3.7075417211569786,3.7075417211569786,0.0,0.0,0.0,77.13714531931885
3207,2015-02-19,73.61474247331611,-1.5013898877231326,151.27748586324861,73.61474247331611,73.61474247331611,3.5684157713984783,3.5684157713984783,3.5684157713984783,-0.010938039844693864,-0.010938039844693864,-0.010938039844693864,3.579353811243173,3.579353811243173,3.579353811243173,0.0,0.0,0.0,77.18315824471459
3208,2015-02-20,73.67748220599609,3.570258221249265,145.41670855641692,73.67748220599609,73.67748220599609,2.487166229730972,2.487166229730972,2.487166229730972,-0.9328388400163639,-0.9328388400163639,-0.9328388400163639,3.420005069747336,3.420005069747336,3.420005069747336,0.0,0.0,0.0,76.16464843572706
3209,2015-02-23,73.86570140403609,2.5005665184204737,147.80001265775343,73.86570140403609,73.86570140403609,2.8877633958051474,2.8877633958051474,2.8877633958051474,0.12689800208885607,0.12689800208885607,0.12689800208885607,2.760865393716291,2.760865393716291,2.760865393716291,0.0,0.0,0.0,76.75346479984124
3210,2015-02-24,73.92844113671606,3.719207569182308,149.27852351915448,73.92844113671606,73.92844113671606,2.4773125118243167,2.4773125118243167,2.4773125118243167,-0.007335517545380127,-0.007335517545380127,-0.007335517545380127,2.4846480293696964,2.4846480293696964,2.4846480293696964,0.0,0.0,0.0,76.40575364854038
3211,2015-02-25,73.99118086939606,3.4268279122437013,154.36614602304067,73.99118086939606,73.99118086939606,2.0606690468245707,2.0606690468245707,2.0606690468245707,-0.12239914247294575,-0.12239914247294575,-0.12239914247294575,2.1830681892975163,2.1830681892975163,2.1830681892975163,0.0,0.0,0.0,76.05184991622063
3212,2015-02-26,74.05392060207603,5.969611019010979,144.65339999501492,74.05392060207603,74.05392060207603,1.8474894503510793,1.8474894503510793,1.8474894503510793,-0.010938039845801589,-0.010938039845801589,-0.010938039845801589,1.8584274901968807,1.8584274901968807,1.8584274901968807,0.0,0.0,0.0,75.90141005242711
3213,2015-02-27,74.11666033475605,2.5842107487948858,144.30306915755477,74.11666033475605,74.11666033475605,0.5805529219596971,0.5805529219596971,0.5805529219596971,-0.9328388400160718,-0.9328388400160718,-0.9328388400160718,1.5133917619757689,1.5133917619757689,1.5133917619757689,0.0,0.0,0.0,74.69721325671574
3214,2015-03-02,74.30487953279597,0.6444250666757243,145.64671083675967,74.30487953279597,74.30487953279597,0.5145302000990454,0.5145302000990454,0.5145302000990454,0.12689800208670637,0.12689800208670637,0.12689800208670637,0.387632198012339,0.387632198012339,0.387632198012339,0.0,0.0,0.0,74.81940973289501
3215,2015-03-03,74.36761926547594,-2.8695056772314596,145.3025064066624,74.36761926547594,74.36761926547594,-0.01310280018301807,-0.01310280018301807,-0.01310280018301807,-0.007335517546985562,-0.007335517546985562,-0.007335517546985562,-0.005767282636032508,-0.005767282636032508,-0.005767282636032508,0.0,0.0,0.0,74.35451646529292
3216,2015-03-04,74.43035899815595,0.32414825069597525,143.31211148335402,74.43035899815595,74.43035899815595,-0.5239753990699496,-0.5239753990699496,-0.5239753990699496,-0.1223991424733603,-0.1223991424733603,-0.1223991424733603,-0.4015762565965893,-0.4015762565965893,-0.4015762565965893,0.0,0.0,0.0,73.906383599086
3217,2015-03-05,74.49309873083592,3.5942675790451815,145.12708133928058,74.49309873083592,74.49309873083592,-0.8064466870028948,-0.8064466870028948,-0.8064466870028948,-0.010938039846909163,-0.010938039846909163,-0.010938039846909163,-0.7955086471559856,-0.7955086471559856,-0.7955086471559856,0.0,0.0,0.0,73.68665204383304
3218,2015-03-06,74.55583846351593,0.536611716166226,139.47915089780935,74.55583846351593,74.55583846351593,-2.1159949770497195,-2.1159949770497195,-2.1159949770497195,-0.932838840016039,-0.932838840016039,-0.932838840016039,-1.1831561370336805,-1.1831561370336805,-1.1831561370336805,0.0,0.0,0.0,72.4398434864662
